model,.metric,mean,std_err,n
intercept_only,accuracy,0.43651431355674797,0.0043650646465527776,5
lasso,accuracy,0.5353560087148854,0.004605124040090952,5
ols_full,accuracy,0.5351138884654881,0.0048145956428656805,5
xgboost,accuracy,0.6214535239489679,7.170175164689142e-4,5
intercept_only,ord_mae,0.6428440303368799,0.008867867717173883,5
lasso,ord_mae,0.52981527249454,0.006285393654267584,5
ols_full,ord_mae,0.5290900660542251,0.007280928574578306,5
xgboost,ord_mae,0.4297716605177752,0.003613593187075225,5
